新老品标签,国家,PID,SPU,shop_name,二级类目,三级类目,店铺评分,首图 url,上架时间,商品卡日均占比,GPM分层,可用库存,销量排名,是否在联盟,商品详情页URL,营销价
近14天新品,GB,1729863048187517124,S260608025222,Irene Dress,标码女装,女士下装,4.5,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/0d1b3540df394532964434a3deb4d019~tplv-g9dfdl17fc-origin-image.image,2026/6/29,内容场占比低,,358,38,,https://shop.tiktok.com/view/product/1729863048187517124?region=GB&locale=en,9.7
近14天新品,US,1732464814099370599,S260629023100,Beauty Beauty Plus,大码女装,女士连衣裙,2.7,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/525690bcdb9d4553b5935c6733a0592e~tplv-g9dfdl17fc-origin-image.image,2026/6/29,内容场占比低,,235,81,Not in Affiliate,https://shop.tiktok.com/view/product/1732464814099370599?region=US&locale=en,18
近14天新品,GB,1729862748560267697,S260524004218,establishfanshion,标码女装,女士套装及西服,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/40c5e22fa7004814aa3474d7bb02a9c1~tplv-g9dfdl17fc-origin-image.image,2026/6/29,内容场占比低,高GPM,1498,39,,https://shop.tiktok.com/view/product/1729862748560267697?region=GB&locale=en,17.9
近14天新品,US,1732467248873181409,S260630026103,Trendy Chic Code,标码女装,女士套装及西服,2,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/fcfdda138cd3498bbc631da7d1bd11ab~tplv-g9dfdl17fc-origin-image.image,2026/7/1,内容场占比低,高GPM,7997,82,,https://shop.tiktok.com/view/product/1732467248873181409?region=US&locale=en,17.9
近14天新品,US,1732467276918199162,S260630021955,Yinos Fashion1,标码女装,女士套装及西服,4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/2506e5423d71483fa59e772e39b2b388~tplv-g9dfdl17fc-origin-image.image,2026/7/5,内容场占比低,,130,83,,https://shop.tiktok.com/view/product/1732467276918199162?region=US&locale=en,9.5
近14天新品,GB,1729866411353413934,S260629017990,WZQH Women's Clothing,标码女装,女士下装,4.7,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/fb1f79a2282348b5be83cc491ab167ad~tplv-g9dfdl17fc-origin-image.image,2026/7/3,内容场占比低,高GPM,408,40,,https://shop.tiktok.com/view/product/1729866411353413934?region=GB&locale=en,9.4
近14天新品,US,1732432758903313020,S260608013778,SINI Clothing,大码女装,女士连衣裙,2.9,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/b585959d1538424e906eaf7fae8c9fe6~tplv-g9dfdl17fc-origin-image.image,2026/7/2,内容场占比低,高GPM,18,84,,https://shop.tiktok.com/view/product/1732432758903313020?region=US&locale=en,13.4
近14天新品,GB,1729856006301129128,S260618007044,YMW,标码女装,女士套装及西服,4.5,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/463d8f8d7e9f49859f7de51d5d4bd0d1~tplv-g9dfdl17fc-origin-image.image,2026/6/30,内容场占比低,,149,41,,https://shop.tiktok.com/view/product/1729856006301129128?region=GB&locale=en,13.4
近14天新品,GB,1729857209416129119,S260620010588,Sorvra,标码女装,女士套装及西服,4.4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/8f9697599a034a179545a3bfd884e645~tplv-g9dfdl17fc-origin-image.image,2026/6/30,内容场占比低,,13,42,,https://shop.tiktok.com/view/product/1729857209416129119?region=GB&locale=en,14.9
近14天新品,US,1732472881022997129,S260703032767,.Home sweet home,大码女装,女士连衣裙,3.2,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/19517d67e39249f2ac4f5a9025dc0bf6~tplv-g9dfdl17fc-origin-image.image,2026/7/3,内容场占比低,,24,86,,https://shop.tiktok.com/view/product/1732472881022997129?region=US&locale=en,17
